,Thousands of Passengers,1st Diff,2nd Diff,Seasonality,Forecast
1954-09-01,259,-34.0,-25.0,22.0,
1954-10-01,229,-30.0,4.0,18.0,
1954-11-01,203,-26.0,4.0,23.0,
1954-12-01,229,26.0,52.0,28.0,
1955-01-01,242,13.0,-13.0,38.0,
1955-02-01,233,-9.0,-22.0,45.0,
1955-03-01,267,34.0,43.0,32.0,
1955-04-01,269,2.0,-32.0,42.0,
1955-05-01,270,1.0,-1.0,36.0,
1955-06-01,315,45.0,44.0,51.0,
1955-07-01,364,49.0,4.0,62.0,
1955-08-01,347,-17.0,-66.0,54.0,
1955-09-01,312,-35.0,-18.0,53.0,
1955-10-01,274,-38.0,-3.0,45.0,
1955-11-01,237,-37.0,1.0,34.0,
1955-12-01,278,41.0,78.0,49.0,
1956-01-01,284,6.0,-35.0,42.0,
1956-02-01,277,-7.0,-13.0,44.0,
1956-03-01,317,40.0,47.0,50.0,
1956-04-01,313,-4.0,-44.0,44.0,
1956-05-01,318,5.0,9.0,48.0,
1956-06-01,374,56.0,51.0,59.0,
1956-07-01,413,39.0,-17.0,49.0,
1956-08-01,405,-8.0,-47.0,58.0,
1956-09-01,355,-50.0,-42.0,43.0,
1956-10-01,306,-49.0,1.0,32.0,
1956-11-01,271,-35.0,14.0,34.0,
1956-12-01,306,35.0,70.0,28.0,
1957-01-01,315,9.0,-26.0,31.0,
1957-02-01,301,-14.0,-23.0,24.0,
1957-03-01,356,55.0,69.0,39.0,
1957-04-01,348,-8.0,-63.0,35.0,
1957-05-01,355,7.0,15.0,37.0,
1957-06-01,422,67.0,60.0,48.0,
1957-07-01,465,43.0,-24.0,52.0,
1957-08-01,467,2.0,-41.0,62.0,
1957-09-01,404,-63.0,-65.0,49.0,
1957-10-01,347,-57.0,6.0,41.0,
1957-11-01,305,-42.0,15.0,34.0,
1957-12-01,336,31.0,73.0,30.0,
1958-01-01,340,4.0,-27.0,25.0,
1958-02-01,318,-22.0,-26.0,17.0,
1958-03-01,362,44.0,66.0,6.0,
1958-04-01,348,-14.0,-58.0,0.0,
1958-05-01,363,15.0,29.0,8.0,
1958-06-01,435,72.0,57.0,13.0,
1958-07-01,491,56.0,-16.0,26.0,
1958-08-01,505,14.0,-42.0,38.0,
1958-09-01,404,-101.0,-115.0,0.0,
1958-10-01,359,-45.0,56.0,12.0,
1958-11-01,310,-49.0,-4.0,5.0,
1958-12-01,337,27.0,76.0,1.0,
1959-01-01,360,23.0,-4.0,20.0,
1959-02-01,342,-18.0,-41.0,24.0,
1959-03-01,406,64.0,82.0,44.0,
1959-04-01,396,-10.0,-74.0,48.0,
1959-05-01,420,24.0,34.0,57.0,
1959-06-01,472,52.0,28.0,37.0,
1959-07-01,548,76.0,24.0,57.0,
1959-08-01,559,11.0,-65.0,54.0,
1959-09-01,463,-96.0,-107.0,59.0,
1959-10-01,407,-56.0,40.0,48.0,
1959-11-01,362,-45.0,11.0,52.0,
1959-12-01,405,43.0,88.0,68.0,
1960-01-01,417,12.0,-31.0,57.0,
1960-02-01,391,-26.0,-38.0,49.0,
1960-03-01,419,28.0,54.0,13.0,
1960-04-01,461,42.0,14.0,65.0,
1960-05-01,472,11.0,-31.0,52.0,
1960-06-01,535,63.0,52.0,63.0,
1960-07-01,622,87.0,24.0,74.0,
1960-08-01,606,-16.0,-103.0,47.0,
1960-09-01,508,-98.0,-82.0,45.0,
1960-10-01,461,-47.0,51.0,54.0,
1960-11-01,390,-71.0,-24.0,28.0,
1960-12-01,432,42.0,113.0,27.0,
1961-01-01,,,,,
1961-02-01,,,,,422.35350221307556
1961-03-01,,,,,470.0380887313446
1961-04-01,,,,,492.9703654269359
1961-05-01,,,,,515.4168007195891
1961-06-01,,,,,577.4946599766675
1961-07-01,,,,,673.2060273423732
1961-08-01,,,,,657.8723224962673
1961-09-01,,,,,557.538659324264
1961-10-01,,,,,497.8201858077538
1961-11-01,,,,,433.36635461742947
1961-12-01,,,,,475.519824821458
1962-01-01,,,,,497.4119647790161
1962-02-01,,,,,461.916447510079
1962-03-01,,,,,507.26420360076435
1962-04-01,,,,,536.4623448763696
1962-05-01,,,,,558.1614691560299
1962-06-01,,,,,629.3482649027491
1962-07-01,,,,,729.6918940765935
1962-08-01,,,,,714.0413115735151
1962-09-01,,,,,603.5591316168985
1962-10-01,,,,,541.2931649850416
1962-11-01,,,,,470.48620621336033
1962-12-01,,,,,512.4884663681598
1963-01-01,,,,,536.5968635068411
1963-02-01,,,,,498.5333566991672
1963-03-01,,,,,547.0763483828532
1963-04-01,,,,,574.2876325195621
1963-05-01,,,,,599.9053187467186
1963-06-01,,,,,675.2117441509347
1963-07-01,,,,,783.0113474782893
1963-08-01,,,,,770.5443560836202
1963-09-01,,,,,648.6103598265788
1963-10-01,,,,,582.3376911346019
1963-11-01,,,,,509.4334121618708
1963-12-01,,,,,551.681951554734
1964-01-01,,,,,577.8612934053956
1964-02-01,,,,,537.7105268167842
1964-03-01,,,,,584.7158260018384
1964-04-01,,,,,617.7118021588104
1964-05-01,,,,,645.5248353488397
1964-06-01,,,,,722.851378950022
1964-07-01,,,,,839.5828562619379
1964-08-01,,,,,827.5053382296179
1964-09-01,,,,,695.3840657924515
1964-10-01,,,,,627.382944108747
1964-11-01,,,,,549.8320835482185
1964-12-01,,,,,593.4141926051054
1965-01-01,,,,,621.6529811909404
1965-02-01,,,,,579.0827678584712
1965-03-01,,,,,622.9731579882505
1965-04-01,,,,,664.3182816771908
1965-05-01,,,,,694.1437384242503
1965-06-01,,,,,771.7573308724809
1965-07-01,,,,,898.0921710943553
1965-08-01,,,,,883.8964228260123
1965-09-01,,,,,743.925453606397
1965-10-01,,,,,674.8967494561584
1965-11-01,,,,,592.1394479949083
1965-12-01,,,,,636.8521263251703
